name	symb	atid
α1	PAA1	AT5G35590
α1	PAA2	AT2G05840
α2	PAB1	AT1G16470
α2	PAB2	AT1G79210
α3	PAC1	AT3G22110
α3	PAC2	AT4G15160
α4	PAD1	AT3G51260
α4	PAD2	AT5G66140
α5	PAE1	AT1G53850
α5	PAE2	AT3G14290
α6	PAF1	AT5G42790
α6	PAF2	AT1G47250
α7	PAG1	AT2G27020
β1	PBA1	AT4G31300
β2	PBB1	AT3G27430
β2	PBB2	AT5G40580
β3	PBC1	AT1G21720
β3	PBC2	AT1G77440
β4	PBD1	AT3G22630
β4	PBD2	AT4G14800
β5	PBE1	AT1G13060
β5	PBE2	AT3G26340
β6	PBF1	AT3G60820
β7	PBG1	AT1G56450
RPT1	RPT1a	AT1G53750
RPT1	RPT1b	AT1G53780
RPT2	RPT2a	AT4G29040
RPT2	RPT2b	AT2G20140
RPT3	RPT3	AT5G58290
RPT4	RPT4a	AT5G43010
RPT4	RPT4b	AT1G45000
RPT5	RPT5a	AT3G05530
RPT5	RPT5b	AT1G09100
RPT6	RPT6a	AT5G19990
RPT6	RPT6b	AT5G20000
RPN1	RPN1a	AT2G20580
RPN1	RPN1b	AT4G28470
RPN2	RPN2a	AT1G04810
RPN2	RPN2b	AT2G32730
RPN3	RPN3a	AT1G20200
RPN3	RPN3b	AT1G75990
RPN5	RPN5a	AT5G09900
RPN5	RPN5b	AT5G64760
RPN6	RPN6	AT1G29150
RPN7	RPN7	AT4G24820
RPN8	RPN8a	AT5G05780
RPN8	RPN8b	AT3G11270
RPN9	RPN9a	AT5G45620
RPN9	RPN9b	AT4G19006
RPN10	RPN10	AT4G38630
RPN11	RPN11	AT5G23540
RPN12	RPN12a	AT1G64520
RPN12	RPN12b	AT5G42040
